id,genre
134,'Adventure'
134, 'Shooter'
135,'Platform'
136,'Indie'
136, 'Racing'
136, 'Sport'
137,'Adventure'
137, 'Brawler'
138,'Brawler'
139,'Adventure'
139, 'RPG'
139, 'Turn Based Strategy'
140,'Fighting'
141,'Simulator'
141, 'Sport'
142,'Adventure'
142, 'RPG'
143,'Racing'
144,'Adventure'
144, 'Shooter'
145,'Indie'
145, 'Point-and-Click'
145, 'Puzzle'
145, 'Simulator'
146,'Adventure'
146, 'RPG'
146, 'Shooter'
147,'Adventure'
147, 'RPG'
148,'Adventure'
148, 'Indie'
148, 'RPG'
148, 'Turn Based Strategy'
149,'Adventure'
149, 'RPG'
149, 'Shooter'
150,'Adventure'
150, 'Platform'
150, 'Puzzle'
150, 'Shooter'
151,'Adventure'
151, 'Platform'
152,'Adventure'
152, 'Platform'
153,'Adventure'
153, 'Indie'
153, 'Puzzle'
154,'Adventure'
154, 'Brawler'
154, 'RPG'
155,'Adventure'
155, 'RPG'
155, 'Turn Based Strategy'
156,'Brawler'
156, 'RPG'
157,'Adventure'
157, 'Platform'
158,'Adventure'
158, 'RPG'
158, 'Turn Based Strategy'
159,'Shooter'
160,'Adventure'
160, 'Platform'
161,'Adventure'
161, 'Platform'
161, 'Puzzle'
162,'Adventure'
162, 'RPG'
163,'Adventure'
163, 'Brawler'
163, 'Strategy'
164,'Adventure'
164, 'Puzzle'
165,'Adventure'
165, 'RPG'
166,'Adventure'
166, 'Brawler'
166, 'RPG'
167,'Adventure'
167, 'Indie'
167, 'Platform'
167, 'Puzzle'
168,'Adventure'
168, 'RPG'
168, 'Turn Based Strategy'
169,'Adventure'
169, 'RPG'
170,'Adventure'
170, 'Shooter'
171,'Adventure'
171, 'Racing'
171, 'Shooter'
172,'Adventure'
172, 'Platform'
172, 'Shooter'
173,'Adventure'
173, 'RPG'
174,'Adventure'
174, 'Point-and-Click'
174, 'Visual Novel'
175,'RPG'
175, 'Turn Based Strategy'
176,'Shooter'
177,'Adventure'
177, 'Platform'
177, 'Shooter'
178,'Adventure'
178, 'RPG'
179,'Adventure'
179, 'Indie'
179, 'Simulator'
179, 'Visual Novel'
180,'Adventure'
180, 'Indie'
180, 'Platform'
181,'Adventure'
181, 'Shooter'
182,'Adventure'
182, 'Simulator'
183,'Fighting'
183, 'Indie'
183, 'Puzzle'
183, 'Shooter'
183, 'Tactical'
184,'Puzzle'
184, 'Real Time Strategy'
184, 'Simulator'
184, 'Strategy'
184, 'Tactical'
185,'Adventure'
185, 'Platform'
185, 'Puzzle'
186,'Adventure'
186, 'RPG'
187,'Adventure'
187, 'RPG'
188,'Adventure'
189,'Adventure'
189, 'Platform'
190,'Adventure'
190, 'RPG'
191,'Shooter'
192,'Adventure'
192, 'Platform'
192, 'Shooter'
193,'Adventure'
193, 'RPG'
193, 'Turn Based Strategy'
194,'Adventure'
194, 'Indie'
195,'Adventure'
196,'Adventure'
196, 'Puzzle'
196, 'Visual Novel'
197,'Adventure'
197, 'Puzzle'
