Id_game,Genres
152,"['Adventure', 'Platform']"
153,"['Adventure', 'Indie', 'Puzzle']"
154,"['Adventure', 'Brawler', 'RPG']"
155,"['Adventure', 'RPG', 'Turn Based Strategy']"
156,"['Brawler', 'RPG']"
157,"['Adventure', 'Platform']"
158,"['Adventure', 'RPG', 'Turn Based Strategy']"
159,['Shooter']
160,"['Adventure', 'Platform']"
161,"['Adventure', 'Platform', 'Puzzle']"
162,"['Adventure', 'RPG']"
163,"['Adventure', 'Brawler', 'Strategy']"
164,"['Adventure', 'Puzzle']"
165,"['Adventure', 'RPG']"
166,"['Adventure', 'Brawler', 'RPG']"
167,"['Adventure', 'Indie', 'Platform', 'Puzzle']"
168,"['Adventure', 'RPG', 'Turn Based Strategy']"
169,"['Adventure', 'RPG']"
170,"['Adventure', 'Shooter']"
171,"['Adventure', 'Racing', 'Shooter']"
172,"['Adventure', 'Platform', 'Shooter']"
173,"['Adventure', 'RPG']"
174,"['Adventure', 'Point-and-Click', 'Visual Novel']"
175,"['RPG', 'Turn Based Strategy']"
176,['Shooter']
177,"['Adventure', 'Platform', 'Shooter']"
178,"['Adventure', 'RPG']"
179,"['Adventure', 'Indie', 'Simulator', 'Visual Novel']"
180,"['Adventure', 'Indie', 'Platform']"
181,"['Adventure', 'Shooter']"
182,"['Adventure', 'Simulator']"
183,"['Fighting', 'Indie', 'Puzzle', 'Shooter', 'Tactical']"
184,"['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']"
185,"['Adventure', 'Platform', 'Puzzle']"
186,"['Adventure', 'RPG']"
187,"['Adventure', 'RPG']"
188,['Adventure']
189,"['Adventure', 'Platform']"
190,"['Adventure', 'RPG']"
191,['Shooter']
192,"['Adventure', 'Platform', 'Shooter']"
193,"['Adventure', 'RPG', 'Turn Based Strategy']"
194,"['Adventure', 'Indie']"
195,['Adventure']
196,"['Adventure', 'Puzzle', 'Visual Novel']"
197,"['Adventure', 'Puzzle']"
198,"['Adventure', 'RPG']"
199,"['Adventure', 'RPG', 'Turn Based Strategy']"
200,"['Adventure', 'Brawler', 'Platform']"
201,"['Adventure', 'RPG', 'Shooter']"
202,['Racing']
203,"['Adventure', 'RPG', 'Shooter', 'Strategy']"
204,['Brawler']
205,"['Adventure', 'Platform']"
206,"['Adventure', 'Platform']"
207,['Shooter']
208,"['Adventure', 'RPG']"
209,"['Adventure', 'Platform', 'Shooter']"
210,"['Adventure', 'Indie']"
211,['Shooter']
212,"['Adventure', 'Platform']"
213,"['Adventure', 'Indie', 'RPG']"
214,"['Adventure', 'RPG', 'Simulator']"
215,"['Indie', 'Simulator']"
216,"['Adventure', 'Shooter']"
217,"['RPG', 'Shooter']"
218,"['Adventure', 'RPG', 'Shooter']"
219,['RPG']
220,"['Adventure', 'Arcade', 'Indie', 'Shooter']"
221,"['Adventure', 'Indie', 'Visual Novel']"
222,"['Adventure', 'Indie', 'Platform']"
223,"['Adventure', 'Indie']"
224,"['Adventure', 'RPG']"
