Id,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
79,0.07,0.26,0.09,0.07,0.49
630,0.28,0.17,0.0,0.04,0.49
1150,0.36,0.09,0.02,0.01,0.49
1296,0.42,0.02,0.0,0.04,0.49
1442,0.18,0.24,0.0,0.05,0.48
890,0.0,0.48,0.0,0.0,0.48
1292,0.3,0.08,0.07,0.01,0.47
1361,0.34,0.11,0.0,0.02,0.46
1296,0.4,0.03,0.0,0.04,0.46
483,0.12,0.29,0.0,0.05,0.46
1396,0.33,0.12,0.0,0.01,0.46
952,0.19,0.23,0.0,0.04,0.46
1400,0.0,0.0,0.45,0.0,0.45
944,0.12,0.25,0.01,0.08,0.45
1494,0.25,0.16,0.0,0.04,0.45
1041,0.26,0.13,0.01,0.04,0.44
663,0.28,0.11,0.01,0.03,0.44
1456,0.36,0.01,0.0,0.06,0.44
1439,0.19,0.18,0.0,0.07,0.43
1463,0.01,0.36,0.0,0.06,0.43
82,0.22,0.18,0.0,0.04,0.43
1434,0.38,0.03,0.0,0.03,0.43
925,0.18,0.09,0.14,0.03,0.43
1294,0.18,0.07,0.17,0.01,0.43
1082,0.15,0.22,0.0,0.06,0.43
1463,0.0,0.38,0.0,0.05,0.43
474,0.21,0.18,0.0,0.03,0.43
464,0.2,0.08,0.12,0.03,0.42
1338,0.36,0.03,0.0,0.03,0.42
1366,0.14,0.1,0.16,0.03,0.42
1420,0.31,0.09,0.0,0.01,0.42
1434,0.2,0.16,0.0,0.05,0.41
104,0.14,0.07,0.15,0.06,0.41
1433,0.23,0.16,0.0,0.03,0.41
1296,0.34,0.01,0.0,0.06,0.41
845,0.01,0.39,0.0,0.02,0.41
483,0.18,0.19,0.0,0.04,0.41
671,0.31,0.03,0.04,0.03,0.41
1458,0.33,0.07,0.0,0.0,0.41
1511,0.05,0.26,0.0,0.09,0.41
665,0.13,0.09,0.16,0.03,0.41
1196,0.14,0.23,0.0,0.04,0.41
559,0.21,0.12,0.04,0.03,0.41
616,0.18,0.12,0.06,0.05,0.41
1434,0.27,0.1,0.0,0.03,0.4
99,0.0,0.0,0.39,0.01,0.4
1228,0.24,0.12,0.01,0.03,0.4
1494,0.18,0.15,0.0,0.06,0.4
1434,0.22,0.12,0.0,0.06,0.4
468,0.01,0.32,0.0,0.07,0.4
748,0.29,0.06,0.01,0.03,0.4
1439,0.23,0.13,0.0,0.04,0.4
1237,0.26,0.11,0.0,0.02,0.39
1105,0.13,0.17,0.03,0.06,0.38
915,0.07,0.05,0.25,0.02,0.38
858,0.17,0.18,0.0,0.03,0.38
1181,0.0,0.0,0.38,0.0,0.38
1419,0.16,0.15,0.02,0.06,0.38
1048,0.16,0.16,0.0,0.06,0.38
1442,0.12,0.2,0.0,0.06,0.38
1237,0.29,0.07,0.0,0.01,0.37
866,0.14,0.15,0.03,0.06,0.37
1333,0.2,0.14,0.0,0.03,0.37
882,0.11,0.18,0.02,0.06,0.37
1185,0.09,0.07,0.18,0.02,0.37
673,0.17,0.13,0.0,0.06,0.37
854,0.0,0.32,0.0,0.04,0.37
973,0.19,0.13,0.0,0.03,0.36
1186,0.0,0.0,0.36,0.0,0.36
1142,0.23,0.09,0.01,0.03,0.36
806,0.23,0.09,0.0,0.03,0.35
1438,0.1,0.18,0.0,0.07,0.35
1503,0.19,0.12,0.01,0.03,0.35
1087,0.03,0.02,0.28,0.02,0.35
1474,0.23,0.0,0.09,0.02,0.35
577,0.28,0.03,0.0,0.03,0.34
952,0.13,0.18,0.0,0.03,0.34
828,0.0,0.0,0.34,0.0,0.34
1405,0.09,0.08,0.14,0.03,0.33
1174,0.16,0.13,0.0,0.04,0.33
1154,0.12,0.1,0.08,0.03,0.33
638,0.1,0.18,0.0,0.05,0.33
1003,0.2,0.09,0.0,0.03,0.33
983,0.13,0.15,0.0,0.05,0.33
1003,0.13,0.16,0.0,0.04,0.32
1392,0.15,0.04,0.1,0.03,0.32
97,0.0,0.27,0.0,0.05,0.32
1296,0.27,0.02,0.0,0.03,0.32
620,0.25,0.06,0.0,0.01,0.32
888,0.0,0.0,0.32,0.0,0.32
1396,0.24,0.07,0.0,0.01,0.31
583,0.0,0.0,0.31,0.0,0.31
1192,0.0,0.0,0.29,0.02,0.31
1489,0.14,0.13,0.0,0.04,0.31
1197,0.08,0.05,0.14,0.04,0.31
1237,0.22,0.08,0.0,0.01,0.3
1066,0.1,0.0,0.19,0.02,0.3
1041,0.12,0.13,0.0,0.05,0.3
1433,0.24,0.06,0.0,0.0,0.3
583,0.13,0.02,0.14,0.01,0.3
1428,0.18,0.0,0.1,0.02,0.3
579,0.13,0.1,0.04,0.02,0.29
1449,0.13,0.1,0.03,0.03,0.29
1401,0.14,0.11,0.0,0.04,0.29
1278,0.15,0.1,0.01,0.02,0.29
1129,0.11,0.15,0.0,0.03,0.29
470,0.15,0.11,0.0,0.02,0.28
1468,0.21,0.06,0.0,0.01,0.28
1161,0.19,0.06,0.0,0.03,0.28
1288,0.03,0.01,0.23,0.01,0.28
1431,0.21,0.06,0.0,0.01,0.28
1165,0.1,0.03,0.12,0.04,0.28
1468,0.23,0.02,0.0,0.03,0.28
289,0.14,0.11,0.0,0.02,0.28
963,0.2,0.07,0.0,0.0,0.28
1497,0.02,0.02,0.22,0.02,0.27
530,0.09,0.16,0.0,0.02,0.27
1455,0.24,0.01,0.0,0.02,0.27
1211,0.12,0.11,0.02,0.02,0.27
1406,0.14,0.0,0.12,0.01,0.27
672,0.18,0.06,0.0,0.02,0.27
174,0.13,0.07,0.0,0.06,0.26
1008,0.01,0.2,0.0,0.05,0.26
184,0.24,0.0,0.0,0.02,0.26
1396,0.2,0.05,0.0,0.01,0.26
1253,0.0,0.0,0.26,0.0,0.26
1187,0.16,0.06,0.04,0.0,0.26
884,0.04,0.15,0.0,0.06,0.25
1463,0.0,0.23,0.0,0.03,0.25
1502,0.19,0.05,0.0,0.01,0.25
1387,0.19,0.01,0.03,0.02,0.25
485,0.02,0.19,0.0,0.04,0.24
698,0.0,0.19,0.0,0.05,0.24
1414,0.19,0.05,0.0,0.01,0.24
1490,0.17,0.06,0.0,0.0,0.24
616,0.15,0.06,0.01,0.02,0.24
104,0.0,0.0,0.24,0.0,0.24
580,0.1,0.09,0.01,0.04,0.24
775,0.18,0.04,0.0,0.02,0.23
1463,0.0,0.16,0.0,0.07,0.23
891,0.02,0.14,0.0,0.07,0.23
491,0.13,0.07,0.0,0.02,0.22
1197,0.05,0.04,0.12,0.02,0.22
580,0.09,0.09,0.0,0.04,0.22
617,0.0,0.0,0.22,0.0,0.22
1117,0.08,0.0,0.13,0.01,0.22
81,0.12,0.08,0.0,0.02,0.21
1376,0.18,0.01,0.0,0.02,0.21
952,0.03,0.12,0.0,0.05,0.21
982,0.1,0.07,0.0,0.03,0.21
621,0.1,0.08,0.0,0.02,0.2
1105,0.1,0.09,0.0,0.02,0.2
590,0.1,0.08,0.0,0.02,0.2
1303,0.06,0.12,0.0,0.02,0.2
662,0.02,0.15,0.0,0.02,0.2
1387,0.09,0.0,0.09,0.01,0.2
1211,0.07,0.08,0.03,0.01,0.2
1326,0.15,0.04,0.0,0.01,0.2
174,0.0,0.0,0.19,0.0,0.19
1246,0.12,0.03,0.01,0.03,0.19
184,0.18,0.0,0.0,0.01,0.19
1405,0.09,0.07,0.02,0.02,0.19
1105,0.11,0.06,0.0,0.02,0.19
1503,0.09,0.07,0.01,0.01,0.19
944,0.14,0.0,0.01,0.03,0.18
569,0.01,0.14,0.0,0.04,0.18
1438,0.1,0.07,0.0,0.02,0.18
571,0.0,0.0,0.17,0.01,0.18
1346,0.06,0.03,0.07,0.02,0.18
630,0.04,0.12,0.0,0.02,0.18
491,0.08,0.08,0.0,0.02,0.18
1455,0.14,0.04,0.0,0.0,0.18
1092,0.02,0.13,0.0,0.03,0.18
1507,0.1,0.04,0.0,0.03,0.17
720,0.0,0.0,0.16,0.01,0.17
1141,0.0,0.0,0.17,0.0,0.17
1271,0.08,0.06,0.0,0.02,0.16
1347,0.07,0.07,0.0,0.02,0.16
859,0.0,0.0,0.16,0.0,0.16
944,0.08,0.06,0.0,0.01,0.16
1237,0.14,0.0,0.0,0.01,0.16
672,0.08,0.05,0.0,0.02,0.15
470,0.07,0.06,0.01,0.01,0.15
620,0.11,0.04,0.0,0.0,0.15
170,0.12,0.03,0.0,0.0,0.15
79,0.0,0.13,0.0,0.02,0.15
772,0.02,0.0,0.13,0.01,0.15
1346,0.02,0.03,0.08,0.02,0.15
580,0.1,0.0,0.01,0.03,0.15
1376,0.13,0.01,0.0,0.01,0.15
638,0.08,0.06,0.0,0.01,0.15
1079,0.06,0.08,0.0,0.01,0.15
583,0.0,0.0,0.14,0.01,0.15
1306,0.09,0.0,0.04,0.01,0.14
882,0.08,0.05,0.0,0.01,0.14
558,0.01,0.1,0.0,0.02,0.14
1332,0.1,0.04,0.0,0.0,0.14
748,0.11,0.03,0.0,0.01,0.14
677,0.03,0.11,0.0,0.01,0.14
590,0.11,0.01,0.0,0.02,0.14
580,0.08,0.05,0.0,0.01,0.14
1434,0.1,0.03,0.0,0.0,0.14
489,0.07,0.04,0.01,0.01,0.13
1041,0.08,0.04,0.0,0.01,0.13
604,0.0,0.0,0.13,0.0,0.13
1373,0.06,0.05,0.0,0.02,0.13
1095,0.03,0.08,0.0,0.02,0.13
594,0.06,0.05,0.0,0.02,0.13
718,0.0,0.1,0.0,0.03,0.13
892,0.08,0.03,0.0,0.01,0.13
673,0.05,0.07,0.0,0.01,0.13
1141,0.0,0.0,0.12,0.0,0.12
891,0.03,0.09,0.0,0.01,0.12
1131,0.0,0.1,0.0,0.02,0.12
772,0.01,0.0,0.11,0.0,0.12
85,0.08,0.03,0.0,0.01,0.12
1022,0.0,0.0,0.12,0.0,0.12
871,0.09,0.03,0.0,0.0,0.12
601,0.06,0.05,0.0,0.01,0.12
580,0.04,0.07,0.0,0.01,0.12
859,0.0,0.0,0.12,0.0,0.12
1300,0.0,0.0,0.11,0.0,0.11
866,0.08,0.02,0.0,0.01,0.11
1325,0.0,0.0,0.11,0.0,0.11
1417,0.0,0.09,0.0,0.02,0.11
617,0.0,0.0,0.11,0.0,0.11
79,0.0,0.01,0.09,0.0,0.11
914,0.02,0.07,0.0,0.02,0.11
489,0.06,0.04,0.0,0.01,0.11
982,0.05,0.03,0.0,0.02,0.1
1174,0.08,0.02,0.0,0.0,0.1
1362,0.0,0.0,0.1,0.0,0.1
828,0.0,0.0,0.1,0.0,0.1
871,0.05,0.04,0.0,0.01,0.09
1345,0.0,0.0,0.09,0.0,0.09
993,0.01,0.0,0.08,0.0,0.09
1217,0.07,0.02,0.0,0.0,0.09
1212,0.0,0.0,0.09,0.01,0.09
1304,0.07,0.02,0.0,0.0,0.09
1507,0.07,0.01,0.0,0.01,0.09
170,0.04,0.03,0.0,0.01,0.09
1111,0.0,0.0,0.09,0.0,0.09
1481,0.06,0.02,0.0,0.0,0.08
178,0.0,0.0,0.08,0.01,0.08
1079,0.0,0.06,0.0,0.01,0.08
79,0.0,0.03,0.04,0.0,0.08
575,0.06,0.02,0.0,0.0,0.08
81,0.0,0.07,0.0,0.0,0.08
489,0.03,0.03,0.0,0.01,0.08
1174,0.06,0.01,0.0,0.0,0.07
982,0.05,0.02,0.0,0.01,0.07
839,0.0,0.06,0.0,0.01,0.07
561,0.07,0.0,0.0,0.01,0.07
1247,0.03,0.03,0.0,0.01,0.07
982,0.05,0.0,0.0,0.02,0.07
846,0.0,0.0,0.07,0.0,0.07
926,0.01,0.04,0.0,0.01,0.07
1011,0.0,0.06,0.0,0.01,0.07
495,0.05,0.0,0.0,0.01,0.07
1511,0.02,0.04,0.0,0.01,0.06
1481,0.05,0.02,0.0,0.0,0.06
637,0.04,0.0,0.01,0.01,0.06
79,0.0,0.05,0.01,0.01,0.06
637,0.03,0.0,0.02,0.01,0.06
1299,0.0,0.05,0.0,0.01,0.06
1346,0.01,0.02,0.03,0.01,0.06
1438,0.0,0.05,0.0,0.01,0.06
1507,0.05,0.0,0.0,0.0,0.06
1133,0.01,0.04,0.0,0.01,0.06
1026,0.04,0.01,0.0,0.0,0.06
912,0.0,0.05,0.0,0.01,0.06
806,0.0,0.05,0.0,0.0,0.05
1087,0.0,0.0,0.05,0.0,0.05
593,0.01,0.04,0.0,0.0,0.05
184,0.0,0.04,0.0,0.01,0.05
1126,0.0,0.05,0.0,0.0,0.05
1325,0.0,0.0,0.05,0.0,0.05
1495,0.04,0.0,0.0,0.01,0.05
495,0.0,0.04,0.0,0.01,0.04
1325,0.0,0.0,0.04,0.0,0.04
866,0.01,0.03,0.0,0.0,0.04
993,0.01,0.02,0.0,0.01,0.04
982,0.01,0.03,0.0,0.0,0.04
965,0.0,0.03,0.0,0.01,0.04
1422,0.03,0.01,0.0,0.0,0.04
79,0.0,0.04,0.0,0.0,0.04
1211,0.0,0.03,0.0,0.01,0.04
869,0.0,0.0,0.04,0.0,0.04
1095,0.03,0.01,0.0,0.0,0.04
712,0.0,0.03,0.0,0.01,0.04
495,0.03,0.0,0.0,0.0,0.04
1257,0.0,0.0,0.04,0.0,0.04
1439,0.0,0.03,0.0,0.01,0.04
1156,0.01,0.02,0.0,0.01,0.04
748,0.0,0.03,0.0,0.01,0.04
1407,0.0,0.0,0.03,0.0,0.03
944,0.0,0.03,0.0,0.01,0.03
1407,0.0,0.0,0.03,0.0,0.03
1188,0.0,0.0,0.03,0.0,0.03
834,0.0,0.02,0.0,0.01,0.03
697,0.0,0.02,0.0,0.01,0.03
775,0.03,0.0,0.0,0.0,0.03
1274,0.02,0.01,0.0,0.0,0.03
1332,0.02,0.0,0.0,0.0,0.03
509,0.02,0.01,0.0,0.0,0.03
582,0.0,0.02,0.0,0.0,0.03
1128,0.0,0.02,0.0,0.0,0.03
79,0.0,0.02,0.0,0.0,0.03
1507,0.02,0.01,0.0,0.0,0.03
1224,0.01,0.01,0.0,0.0,0.02
1061,0.0,0.02,0.0,0.0,0.02
1257,0.0,0.0,0.02,0.0,0.02
1204,0.01,0.01,0.0,0.0,0.02
509,0.0,0.02,0.0,0.0,0.02
891,0.01,0.01,0.0,0.0,0.02
638,0.0,0.02,0.0,0.0,0.02
1342,0.01,0.01,0.0,0.0,0.02
1495,0.01,0.01,0.0,0.0,0.02
1507,0.0,0.02,0.0,0.0,0.02
642,0.0,0.01,0.0,0.0,0.02
1325,0.0,0.0,0.02,0.0,0.02
556,0.0,0.0,0.02,0.0,0.02
1140,0.01,0.0,0.0,0.0,0.01
639,0.01,0.0,0.0,0.0,0.01
1376,0.0,0.01,0.0,0.0,0.01
472,0.0,0.01,0.0,0.0,0.01
1000,0.0,0.01,0.0,0.0,0.01
484,0.0,0.01,0.0,0.0,0.01
1257,0.0,0.0,0.01,0.0,0.01
290,0.0,0.01,0.0,0.0,0.01
1495,0.01,0.0,0.0,0.0,0.01
